record_no,distid,county,start,end
200,OH13,trumbull,2014,2023
201,OH13,mahoning,2014,2023
202,OH13,portage,2014,2023
203,OH13,stark,2014,2023
204,OH14,ashtabula,2014,2023
205,OH14,lake,2014,2023
206,OH14,geauga,2014,2023
207,OH14,portage,2014,2023
208,OH14,summit,2014,2023
209,OH14,cuyahoga,2014,2023
210,OH15,madison,2014,2023
211,OH15,pickaway,2014,2023
212,OH15,clinton,2014,2023
213,OH15,fayette,2014,2023
214,OH15,ross,2014,2023
215,OH15,vinton,2014,2023
216,OH15,athents,2014,2023
217,OH15,morgan,2014,2023
218,OH15,perry,2014,2023
219,OH15,fairfield,2014,2023
220,OH15,hocking,2014,2023
221,OH15,madison,2014,2023
222,OH15,franklin,2014,2023
223,OH16,lorain,2014,2023
224,OH16,medina,2014,2023
225,OH16,summit,2014,2023
226,OH16,wayne,2014,2023
227,OH16,stark,2014,2023
228,OH16,portage,2014,2023
